model,metric,avg_rank,top1_recall,top3_recall
all-MiniLM-L6-v2,cosine,15.585454545454546,0.17454545454545456,0.3018181818181818
all-MiniLM-L6-v2,dot,15.585454545454546,0.17454545454545456,0.3018181818181818
all-MiniLM-L6-v2,euclidean,15.585454545454546,0.17454545454545456,0.3018181818181818
all-MiniLM-L6-v2,manhattan,15.872727272727273,0.16727272727272727,0.28363636363636363
all-MiniLM-L6-v2,chebyshev,23.247272727272726,0.06545454545454546,0.11272727272727273
multi-qa-MiniLM-L6-cos-v1,cosine,13.763636363636364,0.22181818181818183,0.36727272727272725
multi-qa-MiniLM-L6-cos-v1,dot,13.763636363636364,0.22181818181818183,0.36727272727272725
multi-qa-MiniLM-L6-cos-v1,euclidean,13.763636363636364,0.22181818181818183,0.36727272727272725
multi-qa-MiniLM-L6-cos-v1,manhattan,13.992727272727272,0.23272727272727273,0.36363636363636365
multi-qa-MiniLM-L6-cos-v1,chebyshev,20.578181818181818,0.08363636363636363,0.1709090909090909
paraphrase-mpnet-base-v2,cosine,12.872727272727273,0.23272727272727273,0.37454545454545457
paraphrase-mpnet-base-v2,dot,12.96,0.23636363636363636,0.37454545454545457
paraphrase-mpnet-base-v2,euclidean,13.73090909090909,0.21818181818181817,0.36727272727272725
paraphrase-mpnet-base-v2,manhattan,14.207272727272727,0.20727272727272728,0.3527272727272727
paraphrase-mpnet-base-v2,chebyshev,21.14181818181818,0.12,0.20363636363636364
